Time,Tunisian Time,Leds
04:00:00,الأربعة   ,1
04:00:01,الأربعة   ,1
04:00:02,الأربعة   ,1
04:00:03,الأربعة   ,1
04:00:04,الأربعة   ,1
04:00:05,الأربعة   ,1
04:00:06,الأربعة   ,1
04:00:07,الأربعة   ,1
04:00:08,الأربعة   ,1
04:00:09,الأربعة   ,1
04:00:10,الأربعة   ,1
04:00:11,الأربعة   ,1
04:00:12,الأربعة   ,1
04:00:13,الأربعة   ,1
04:00:14,الأربعة   ,1
04:00:15,الأربعة   ,1
04:00:16,الأربعة   ,1
04:00:17,الأربعة   ,1
04:00:18,الأربعة   ,1
04:00:19,الأربعة   ,1
04:00:20,الأربعة   ,1
04:00:21,الأربعة   ,1
04:00:22,الأربعة   ,1
04:00:23,الأربعة   ,1
04:00:24,الأربعة   ,1
04:00:25,الأربعة   ,1
04:00:26,الأربعة   ,1
04:00:27,الأربعة   ,1
04:00:28,الأربعة   ,1
04:00:29,الأربعة   ,1
04:00:30,الأربعة   ,1
04:00:31,الأربعة   ,1
04:00:32,الأربعة   ,1
04:00:33,الأربعة   ,1
04:00:34,الأربعة   ,1
04:00:35,الأربعة   ,1
04:00:36,الأربعة   ,1
04:00:37,الأربعة   ,1
04:00:38,الأربعة   ,1
04:00:39,الأربعة   ,1
04:00:40,الأربعة   ,1
04:00:41,الأربعة   ,1
04:00:42,الأربعة   ,1
04:00:43,الأربعة   ,1
04:00:44,الأربعة   ,1
04:00:45,الأربعة   ,1
04:00:46,الأربعة   ,1
04:00:47,الأربعة   ,1
04:00:48,الأربعة   ,1
04:00:49,الأربعة   ,1
04:00:50,الأربعة   ,1
04:00:51,الأربعة   ,1
04:00:52,الأربعة   ,1
04:00:53,الأربعة   ,1
04:00:54,الأربعة   ,1
04:00:55,الأربعة   ,1
04:00:56,الأربعة   ,1
04:00:57,الأربعة   ,1
04:00:58,الأربعة   ,1
04:00:59,الأربعة   ,1
04:01:00,الأربعة   خارج,2
04:01:01,الأربعة   خارج,2
04:01:02,الأربعة   خارج,2
04:01:03,الأربعة   خارج,2
04:01:04,الأربعة   خارج,2
04:01:05,الأربعة   خارج,2
04:01:06,الأربعة   خارج,2
04:01:07,الأربعة   خارج,2
04:01:08,الأربعة   خارج,2
04:01:09,الأربعة   خارج,2
04:01:10,الأربعة   خارج,2
04:01:11,الأربعة   خارج,2
04:01:12,الأربعة   خارج,2
04:01:13,الأربعة   خارج,2
04:01:14,الأربعة   خارج,2
04:01:15,الأربعة   خارج,2
04:01:16,الأربعة   خارج,2
04:01:17,الأربعة   خارج,2
04:01:18,الأربعة   خارج,2
04:01:19,الأربعة   خارج,2
04:01:20,الأربعة   خارج,2
04:01:21,الأربعة   خارج,2
04:01:22,الأربعة   خارج,2
04:01:23,الأربعة   خارج,2
04:01:24,الأربعة   خارج,2
04:01:25,الأربعة   خارج,2
04:01:26,الأربعة   خارج,2
04:01:27,الأربعة   خارج,2
04:01:28,الأربعة   خارج,2
04:01:29,الأربعة   خارج,2
04:01:30,الأربعة   خارج,2
04:01:31,الأربعة   خارج,2
04:01:32,الأربعة   خارج,2
04:01:33,الأربعة   خارج,2
04:01:34,الأربعة   خارج,2
04:01:35,الأربعة   خارج,2
04:01:36,الأربعة   خارج,2
04:01:37,الأربعة   خارج,2
04:01:38,الأربعة   خارج,2
04:01:39,الأربعة   خارج,2
04:01:40,الأربعة   خارج,2
04:01:41,الأربعة   خارج,2
04:01:42,الأربعة   خارج,2
04:01:43,الأربعة   خارج,2
04:01:44,الأربعة   خارج,2
04:01:45,الأربعة   خارج,2
04:01:46,الأربعة   خارج,2
04:01:47,الأربعة   خارج,2
04:01:48,الأربعة   خارج,2
04:01:49,الأربعة   خارج,2
04:01:50,الأربعة   خارج,2
04:01:51,الأربعة   خارج,2
04:01:52,الأربعة   خارج,2
04:01:53,الأربعة   خارج,2
04:01:54,الأربعة   خارج,2
04:01:55,الأربعة   خارج,2
04:01:56,الأربعة   خارج,2
04:01:57,الأربعة   خارج,2
04:01:58,الأربعة   خارج,2
04:01:59,الأربعة   خارج,2
04:02:00,الأربعة   خارج,2
04:02:01,الأربعة   خارج,2
04:02:02,الأربعة   خارج,2
04:02:03,الأربعة   خارج,2
04:02:04,الأربعة   خارج,2
04:02:05,الأربعة   خارج,2
04:02:06,الأربعة   خارج,2
04:02:07,الأربعة   خارج,2
04:02:08,الأربعة   خارج,2
04:02:09,الأربعة   خارج,2
04:02:10,الأربعة   خارج,2
04:02:11,الأربعة   خارج,2
04:02:12,الأربعة   خارج,2
04:02:13,الأربعة   خارج,2
04:02:14,الأربعة   خارج,2
04:02:15,الأربعة   خارج,2
04:02:16,الأربعة   خارج,2
04:02:17,الأربعة   خارج,2
04:02:18,الأربعة   خارج,2
04:02:19,الأربعة   خارج,2
04:02:20,الأربعة   خارج,2
04:02:21,الأربعة   خارج,2
04:02:22,الأربعة   خارج,2
04:02:23,الأربعة   خارج,2
04:02:24,الأربعة   خارج,2
04:02:25,الأربعة   خارج,2
04:02:26,الأربعة   خارج,2
04:02:27,الأربعة   خارج,2
04:02:28,الأربعة   خارج,2
04:02:29,الأربعة   خارج,2
04:02:30,الأربعة و درج ما حررش,4
04:02:31,الأربعة و درج ما حررش,4
04:02:32,الأربعة و درج ما حررش,4
04:02:33,الأربعة و درج ما حررش,4
04:02:34,الأربعة و درج ما حررش,4
04:02:35,الأربعة و درج ما حررش,4
04:02:36,الأربعة و درج ما حررش,4
04:02:37,الأربعة و درج ما حررش,4
04:02:38,الأربعة و درج ما حررش,4
04:02:39,الأربعة و درج ما حررش,4
04:02:40,الأربعة و درج ما حررش,4
04:02:41,الأربعة و درج ما حررش,4
04:02:42,الأربعة و درج ما حررش,4
04:02:43,الأربعة و درج ما حررش,4
04:02:44,الأربعة و درج ما حررش,4
04:02:45,الأربعة و درج ما حررش,4
04:02:46,الأربعة و درج ما حررش,4
04:02:47,الأربعة و درج ما حررش,4
04:02:48,الأربعة و درج ما حررش,4
04:02:49,الأربعة و درج ما حررش,4
04:02:50,الأربعة و درج ما حررش,4
04:02:51,الأربعة و درج ما حررش,4
04:02:52,الأربعة و درج ما حررش,4
04:02:53,الأربعة و درج ما حررش,4
04:02:54,الأربعة و درج ما حررش,4
04:02:55,الأربعة و درج ما حررش,4
04:02:56,الأربعة و درج ما حررش,4
04:02:57,الأربعة و درج ما حررش,4
04:02:58,الأربعة و درج ما حررش,4
04:02:59,الأربعة و درج ما حررش,4
04:03:00,الأربعة و درج ما حررش,4
04:03:01,الأربعة و درج ما حررش,4
04:03:02,الأربعة و درج ما حررش,4
04:03:03,الأربعة و درج ما حررش,4
04:03:04,الأربعة و درج ما حررش,4
04:03:05,الأربعة و درج ما حررش,4
04:03:06,الأربعة و درج ما حررش,4
04:03:07,الأربعة و درج ما حررش,4
04:03:08,الأربعة و درج ما حررش,4
04:03:09,الأربعة و درج ما حررش,4
04:03:10,الأربعة و درج ما حررش,4
04:03:11,الأربعة و درج ما حررش,4
04:03:12,الأربعة و درج ما حررش,4
04:03:13,الأربعة و درج ما حررش,4
04:03:14,الأربعة و درج ما حررش,4
04:03:15,الأربعة و درج ما حررش,4
04:03:16,الأربعة و درج ما حررش,4
04:03:17,الأربعة و درج ما حررش,4
04:03:18,الأربعة و درج ما حررش,4
04:03:19,الأربعة و درج ما حررش,4
04:03:20,الأربعة و درج ما حررش,4
04:03:21,الأربعة و درج ما حررش,4
04:03:22,الأربعة و درج ما حررش,4
04:03:23,الأربعة و درج ما حررش,4
04:03:24,الأربعة و درج ما حررش,4
